model,image_severity,text_severity,value
openclip_l14_laion2b,2,1,0.27470388888888886
openclip_l14_laion2b,2,2,0.26223584666666666
openclip_l14_laion2b,2,3,0.24254198777777777
openclip_l14_laion2b,2,4,0.21683241444444443
openclip_l14_laion2b,2,5,0.19113044666666668
openclip_l14_laion2b,3,1,0.27039915444444446
openclip_l14_laion2b,3,2,0.2617743811111111
openclip_l14_laion2b,3,3,0.24202540555555557
openclip_l14_laion2b,3,4,0.21423585555555558
openclip_l14_laion2b,3,5,0.18885144666666667
openclip_l14_laion2b,4,1,0.2644122066666667
openclip_l14_laion2b,4,2,0.25607167000000003
openclip_l14_laion2b,4,3,0.2363047511111111
openclip_l14_laion2b,4,4,0.21429096555555557
openclip_l14_laion2b,4,5,0.1858539288888889
openclip_l14_laion2b,5,1,0.2493884022222222
openclip_l14_laion2b,5,2,0.24103124888888888
openclip_l14_laion2b,5,3,0.2237771611111111
openclip_l14_laion2b,5,4,0.20655832888888886
openclip_l14_laion2b,5,5,0.17708880666666668
pecore_l14_336,1,1,0.21996018555555555
pecore_l14_336,1,2,0.21046235111111108
pecore_l14_336,1,3,0.18381030666666665
pecore_l14_336,1,4,0.15256932222222222
pecore_l14_336,1,5,0.11431896777777778
pecore_l14_336,2,1,0.21713717444444447
pecore_l14_336,2,2,0.20534248222222223
pecore_l14_336,2,3,0.18311250222222222
pecore_l14_336,2,4,0.1524064111111111
pecore_l14_336,2,5,0.11785163777777778
pecore_l14_336,3,1,0.21316517222222223
pecore_l14_336,3,2,0.2044004711111111
pecore_l14_336,3,3,0.18282304222222223
pecore_l14_336,3,4,0.1505973677777778
pecore_l14_336,3,5,0.1137981811111111
pecore_l14_336,4,1,0.20895305444444445
pecore_l14_336,4,2,0.20007215333333334
pecore_l14_336,4,3,0.1772499966666667
pecore_l14_336,4,4,0.14888261444444442
pecore_l14_336,4,5,0.11114506666666667
pecore_l14_336,5,1,0.20141041999999998
pecore_l14_336,5,2,0.19223042999999998
pecore_l14_336,5,3,0.17063930555555556
pecore_l14_336,5,4,0.14655608222222222
pecore_l14_336,5,5,0.10539918111111111
siglip2_so400m_384,1,1,0.20117371888888888
siglip2_so400m_384,1,2,0.1940980677777778
siglip2_so400m_384,1,3,0.1767692277777778
siglip2_so400m_384,1,4,0.15997744444444445
siglip2_so400m_384,1,5,0.13946976
siglip2_so400m_384,2,1,0.19991640555555557
siglip2_so400m_384,2,2,0.19018435222222224
siglip2_so400m_384,2,3,0.17515380333333333
siglip2_so400m_384,2,4,0.15922561
siglip2_so400m_384,2,5,0.14175515777777778
siglip2_so400m_384,3,1,0.19848686444444447
siglip2_so400m_384,3,2,0.1917238288888889
siglip2_so400m_384,3,3,0.17724179222222222
siglip2_so400m_384,3,4,0.15797295111111112
siglip2_so400m_384,3,5,0.13868843444444445
siglip2_so400m_384,4,1,0.19451186
siglip2_so400m_384,4,2,0.18659000555555555
siglip2_so400m_384,4,3,0.1703571511111111
siglip2_so400m_384,4,4,0.1548366788888889
siglip2_so400m_384,4,5,0.13351500333333333
siglip2_so400m_384,5,1,0.18202466
siglip2_so400m_384,5,2,0.1742831977777778
siglip2_so400m_384,5,3,0.16028090888888888
siglip2_so400m_384,5,4,0.14751266
siglip2_so400m_384,5,5,0.12405823777777777
